model,provider,feature,inferenceType,unit,usd,usagetype
GLM 4.7,Z AI,On-demand Inference,output tokens batch,1K tokens,0.0011,USE1-zai.glm-4.7-output-tokens-batch
NVIDIA Nemotron 3 Super 120B A12B,Nvidia,,Output tokens flex,1K tokens,0.000325,USE1-nvidia.nemotron-super-3-120b-mantle-output-tokens-flex
GLM 4.7 Flash,Z AI,On-demand Inference,Output tokens flex,1K tokens,0.0002,USE1-zai.glm-4.7-flash-output-tokens-flex
google.gemma-4-e2b,Google,,Output tokens priority,1K tokens,0.00014,USE1-google.gemma-4-e2b-mantle-output-tokens-priority
Nova Pro,,Model Customization,Prompt cache write input tokens,1K tokens,0.0,USE1-NovaPro-cache-write-input-token-count-custom-model
Qwen3 Next 80B A3B,Qwen,,Input tokens flex,1K tokens,7e-05,USE1-qwen.qwen3-next-80b-a3b-instruct-mantle-input-tokens-flex
Nova 2.0 Pro,,,Input Image Token Count,1K tokens,0.00125,USE1-Nova2.0Pro-input-image-token-count-cross-region-global
Magistral Small 1.2,Mistral,,Input tokens flex,1K tokens,0.00025,USE1-mistral.magistral-small-2509-mantle-input-tokens-flex
Voxtral Small 1.0,Mistral,,Input tokens,1K tokens,0.0001,USE1-mistral.voxtral-small-24b-2507-mantle-input-tokens-standard
Kimi K2 Thinking,Moonshot AI,,Output tokens flex,1K tokens,0.00125,USE1-moonshotai.kimi-k2-thinking-mantle-output-tokens-flex
Kimi K2.5,Moonshot AI,,input tokens batch,1K tokens,0.0003,USE1-moonshotai.kimi-k2.5-mantle-input-tokens-batch
Voxtral Mini 1.0,Mistral,Batch Inference,Output tokens,1K tokens,2e-05,USE1-Voxtral-Mini-3B-2507-output-tokens-batch
Nova 2.0 Omni,,On-demand Inference,Output Image Token Count,1K tokens,0.044,USE1-Nova2.0Omni-output-image-token-count
Nova 2.0 Omni,,,Output Image Token Count,1K tokens,0.02,USE1-Nova2.0Omni-output-image-token-count-cross-region-global-batch
NVIDIA Nemotron Nano 2,Nvidia,On-demand Inference,Output tokens priority,1K tokens,0.0004,USE1-Nemotron-Nano-9B-V2-output-tokens-priority
Qwen3 Next 80B A3B,Qwen,On-demand Inference,Input tokens flex,1K tokens,7e-05,USE1-Qwen3Next-80B-A3B-input-tokens-flex
GLM 4.7 Flash,Z AI,On-demand Inference,Output tokens,1K tokens,0.0004,USE1-zai.glm-4.7-flash-output-tokens
Voxtral Small 1.0,Mistral,On-demand Inference,Output tokens priority,1K tokens,0.00052,USE1-Voxtral-Mini-24B-2507-output-tokens-priority
R1,DeepSeek,On-demand Inference,Input tokens,1K tokens,0.00135,USE1-DeepSeek-R1-input-tokens
Nova 2.0 Pro,,On-demand Inference,Text Input Token,1K tokens,0.001375,USE1-Nova2.0Pro-text-input-tokens
Nova Lite,,Model Customization,Input tokens,1K tokens,6e-05,USE1-NovaLite-input-tokens-custom-model
NVIDIA Nemotron 3 Super 120B A12B,Nvidia,,Input tokens priority,1K tokens,0.0002625,USE1-nvidia.nemotron-super-3-120b-mantle-input-tokens-priority
GPT OSS Safeguard 20B,OpenAI,On-demand Inference,Input tokens priority,1K tokens,0.00012,USE1-GPT-OSS-Safeguard-20B-input-tokens-priority
gpt-oss-120b,OpenAI,On-demand Inference,Output tokens flex,1K tokens,0.0003,USE1-gpt-oss-120b-output-tokens-flex
Voxtral Small 1.0,Mistral,,input tokens batch,1K tokens,5e-05,USE1-mistral.voxtral-small-24b-2507-mantle-input-tokens-batch
Minimax M2.1,Minimax AI,,Output tokens priority,1K tokens,0.0021,USE1-minimax.minimax-m2.1-mantle-output-tokens-priority
NVIDIA Nemotron 3 Super 120B A12B,Nvidia,,Input tokens,1K tokens,0.00015,USE1-nvidia.nemotron-super-3-120b-mantle-input-tokens-standard
Ministral 3B 3.0,Mistral,On-demand Inference,Output tokens priority,1K tokens,0.00017,USE1-Ministral-3-3b-Instruct-output-tokens-priority
Qwen3 Coder Next,Qwen,On-demand Inference,Output tokens flex,1K tokens,0.0006,USE1-qwen.qwen3-coder-next-output-tokens-flex
GPT OSS Safeguard 120B,OpenAI,Batch Inference,Output tokens,1K tokens,0.0003,USE1-GPT-OSS-Safeguard-120B-output-tokens-batch
GPT OSS Safeguard 120B,OpenAI,On-demand Inference,Output tokens flex,1K tokens,0.0003,USE1-GPT-OSS-Safeguard-120B-output-tokens-flex
gpt-oss-20b,OpenAI,,Output tokens flex,1K tokens,0.00015,USE1-openai.gpt-oss-20b-mantle-output-tokens-flex
Voxtral Small 1.0,Mistral,On-demand Inference,Input tokens flex,1K tokens,5e-05,USE1-Voxtral-Mini-24B-2507-input-tokens-flex
Minimax M2.1,Minimax AI,,Input tokens flex,1K tokens,0.00015,USE1-minimax.minimax-m2.1-mantle-input-tokens-flex
Qwen3 Coder Next,Qwen,On-demand Inference,Output tokens,1K tokens,0.0012,USE1-qwen.qwen3-coder-next-output-tokens
Mistral Large 3,Mistral,On-demand Inference,Output tokens,1K tokens,0.0015,USE1-Mistral-Large-3-675b-Instruct-output-tokens
Ministral 3B 3.0,Mistral,,Output tokens flex,1K tokens,5e-05,USE1-mistral.ministral-3-3b-instruct-mantle-output-tokens-flex
DeepSeek V3.1,DeepSeek,,Output tokens priority,1K tokens,0.00294,USE1-deepseek.v3.1-mantle-output-tokens-priority
Claude 2.0,Anthropic,On-demand Inference,Input tokens,1K tokens,0.008,USE1-Claude2.0-input-tokens
Nova 2.0 Pro,,On-demand Inference,Input Video Token Count Flex,1K tokens,0.0006875,USE1-Nova2.0Pro-input-video-token-count-flex
NVIDIA Nemotron 3 Super 120B A12B,Nvidia,On-demand Inference,Input tokens flex,1K tokens,7.5e-05,USE1-nvidia.nemotron-super-3-120b-input-tokens-flex
Llama 4 Maverick 17B,Meta,Batch Inference,Input tokens,1K tokens,0.00012,USE1-Llama4-Maverick-17B-input-tokens-batch
google.gemma-4-26b-a4b,Google,,Output tokens priority,1K tokens,0.0007,USE1-google.gemma-4-26b-a4b-mantle-output-tokens-priority
Minimax M2.1,Minimax AI,On-demand Inference,Output tokens flex,1K tokens,0.0006,USE1-minimax.minimax-m2.1-output-tokens-flex
Qwen3 Coder Next,Qwen,,Input tokens,1K tokens,0.0005,USE1-qwen.qwen3-coder-next-mantle-input-tokens-standard
GLM 4.7 Flash,Z AI,,output tokens batch,1K tokens,0.0002,USE1-zai.glm-4.7-flash-mantle-output-tokens-batch
GLM 4.7,Z AI,,Input tokens,1K tokens,0.0006,USE1-zai.glm-4.7-mantle-input-tokens-standard
DeepSeek v3.2,DeepSeek,,output tokens batch,1K tokens,0.000925,USE1-deepseek.v3.2-mantle-output-tokens-batch
Llama 4 Scout 17B,Meta,On-demand Inference,Input tokens,1K tokens,0.00017,USE1-Llama4-Scout-17B-input-tokens
Gemma 3 27B,Google,On-demand Inference,Output tokens priority,1K tokens,0.00067,USE1-Gemma-3-27B-IT-output-tokens-priority
Nova Canvas,,On-demand Inference,I2I 2048 Standard,image,0.06,USE1-NovaCanvas-I2I-2048-Standard
Minimax M2,Minimax AI,On-demand Inference,Output tokens priority,1K tokens,0.0021,USE1-Minimax-M2-output-tokens-priority
Ministral 3B 3.0,Mistral,,Output tokens priority,1K tokens,0.00017,USE1-mistral.ministral-3-3b-instruct-mantle-output-tokens-priority
Nemotron Nano 3 30B,Nvidia,,Input tokens priority,1K tokens,0.00011,USE1-nvidia.nemotron-nano-3-30b-mantle-input-tokens-priority
Nova Micro,,Model Customization,Prompt cache read input tokens,1K tokens,8.75e-06,USE1-NovaMicro-cache-read-input-token-count-custom-model
Qwen3 VL 235B A22B,Qwen,,Input tokens flex,1K tokens,0.00026,USE1-qwen.qwen3-vl-235b-a22b-instruct-mantle-input-tokens-flex
NVIDIA Nemotron 3 Super 120B A12B,Nvidia,,Output tokens,1K tokens,0.00065,USE1-nvidia.nemotron-super-3-120b-mantle-output-tokens-standard
Magistral Small 1.2,Mistral,On-demand Inference,Output tokens priority,1K tokens,0.00263,USE1-Magistral-Small-2509-output-tokens-priority
Nova Pro,,Model Customization,,Model/month,1.95,USE1-NovaPro-Customization-Storage
Qwen3 Coder 30B A3B,Qwen,,Output tokens flex,1K tokens,0.0003,USE1-qwen.qwen3-coder-30b-a3b-instruct-mantle-output-tokens-flex
Qwen3 VL 235B A22B,Qwen,,Input tokens,1K tokens,0.00053,USE1-qwen.qwen3-vl-235b-a22b-instruct-mantle-input-tokens-standard
GPT OSS Safeguard 20B,OpenAI,On-demand Inference,Input tokens,1K tokens,7e-05,USE1-GPT-OSS-Safeguard-20B-input-tokens
Pixtral Large 25.02,Mistral,On-demand Inference,Input tokens,1K tokens,0.002,USE1-PixtralLarge2502-input-tokens
Devstral,Mistral AI,On-demand Inference,input tokens batch,1K tokens,0.0002,USE1-mistral.devstral-2-123b-input-tokens-batch
Nova 2.0 Omni,,,Output Image Token Count Priority,1K tokens,0.07,USE1-Nova2.0Omni-output-image-token-count-priority-cross-region-global
Ministral 14B 3.0,Mistral,,Output tokens,1K tokens,0.0002,USE1-mistral.ministral-3-14b-instruct-mantle-output-tokens-standard
DeepSeek v3.2,DeepSeek,,Input tokens flex,1K tokens,0.00031,USE1-deepseek.v3.2-mantle-input-tokens-flex
Gemma 3 12B,Google,,Input tokens priority,1K tokens,0.00016,USE1-google.gemma-3-12b-it-mantle-input-tokens-priority
NVIDIA Nemotron Nano 2 VL,Nvidia,On-demand Inference,Input tokens priority,1K tokens,0.00035,USE1-Nemotron-Nano-12B-V2-VL-BF16-input-tokens-priority
Qwen3 Coder Next,Qwen,,Input tokens flex,1K tokens,0.00025,USE1-qwen.qwen3-coder-next-mantle-input-tokens-flex
Mistral Large 3,Mistral,On-demand Inference,Input tokens priority,1K tokens,0.00088,USE1-Mistral-Large-3-675b-Instruct-input-tokens-priority
Qwen3 Coder Next,Qwen,On-demand Inference,input tokens batch,1K tokens,0.00025,USE1-qwen.qwen3-coder-next-input-tokens-batch
Nova Lite,,Provisioned Throughput Inference - 6 months,,hour,30.25,USE1-NovaLite-ProvisionedThroughput-6months-ModelUnits
Nova 2.0 Omni,,,Input Video Token Count,1K tokens,0.0003,USE1-Nova2.0Omni-input-video-token-count-cross-region-global
Nova Pro,,On-demand Inference,Prompt cache read input tokens,1K tokens,0.0002,USE1-NovaPro-cache-read-input-token-count
Devstral,Mistral AI,,Input tokens flex,1K tokens,0.0002,USE1-mistral.devstral-2-123b-mantle-input-tokens-flex
Minimax M2.1,Minimax AI,On-demand Inference,Output tokens priority,1K tokens,0.0021,USE1-minimax.minimax-m2.1-output-tokens-priority
Minimax M2,Minimax AI,,Input tokens,1K tokens,0.0003,USE1-minimax.minimax-m2-mantle-input-tokens-standard
Mistral Large,Mistral,On-demand Inference,Input tokens,1K tokens,0.004,USE1-MistralLarge-input-tokens
GPT OSS Safeguard 20B,OpenAI,,Output tokens priority,1K tokens,0.00035,USE1-openai.gpt-oss-safeguard-20b-mantle-output-tokens-priority
Llama 4 Scout 17B,Meta,On-demand Inference,Output tokens,1K tokens,0.00066,USE1-Llama4-Scout-17B-output-tokens
Nova 2.0 Pro,,,Input Audio Token Count Flex,1K tokens,0.000625,USE1-Nova2.0Pro-input-audio-token-count-flex-cross-region-global
GLM 4.7,Z AI,,Input tokens priority,1K tokens,0.00105,USE1-zai.glm-4.7-mantle-input-tokens-priority
Ministral 8B 3.0,Mistral,,input tokens batch,1K tokens,7e-05,USE1-mistral.ministral-3-8b-instruct-mantle-input-tokens-batch
DeepSeek v3.2,DeepSeek,On-demand Inference,Input tokens priority,1K tokens,0.001085,USE1-deepseek.v3.2-input-tokens-priority
Kimi K2.5,Moonshot AI,On-demand Inference,Input tokens priority,1K tokens,0.00105,USE1-moonshotai.kimi-k2.5-input-tokens-priority
Nova Premier,,On-demand Inference,Output tokens flex,1K tokens,0.00625,USE1-NovaPremier-output-tokens-flex
Nova Micro,,Model Customization,Prompt cache write input tokens,1K tokens,0.0,USE1-NovaMicro-cache-write-input-token-count-custom-model
Magistral Small 1.2,Mistral,,Output tokens,1K tokens,0.0015,USE1-mistral.magistral-small-2509-mantle-output-tokens-standard
Nova Premier,,On-demand Inference,Prompt cache write input tokens flex,1K tokens,0.0,USE1-NovaPremier-cache-write-input-token-count-flex
DeepSeek v3.2,DeepSeek,On-demand Inference,output tokens batch,1K tokens,0.000925,USE1-deepseek.v3.2-output-tokens-batch
Nova Pro,,Model Customization,,1K tokens,0.008,USE1-NovaPro-Customization-Training
Magistral Small 1.2,Mistral,,Output tokens flex,1K tokens,0.00075,USE1-mistral.magistral-small-2509-mantle-output-tokens-flex
Nova Lite,,Model Customization,,1K tokens,0.002,USE1-NovaLite-Customization-Training
Nova Canvas,,Model Customization,,Model/month,1.95,USE1-NovaCanvas-Customization-Storage
Voxtral Small 1.0,Mistral,On-demand Inference,Input tokens priority,1K tokens,0.00017,USE1-Voxtral-Mini-24B-2507-input-tokens-priority
Devstral,Mistral AI,,input tokens batch,1K tokens,0.0002,USE1-mistral.devstral-2-123b-mantle-input-tokens-batch
Nova 2.0 Lite,,On-demand Inference,Input tokens priority,1K tokens,0.0005775,USE1-Nova2.0Lite-input-tokens-priority
GLM 4.7,Z AI,,output tokens batch,1K tokens,0.0011,USE1-zai.glm-4.7-mantle-output-tokens-batch
Voxtral Mini 1.0,Mistral,On-demand Inference,Input tokens,1K tokens,4e-05,USE1-Voxtral-Mini-3B-2507-input-tokens
google.gemma-4-31b,Google,,Output tokens priority,1K tokens,0.0007,USE1-google.gemma-4-31b-mantle-output-tokens-priority
gpt-oss-120b,OpenAI,On-demand Inference,Input tokens flex,1K tokens,7.5e-05,USE1-gpt-oss-120b-input-tokens-flex
MiniMax M2.5,Minimax AI,On-demand Inference,Output tokens priority,1K tokens,0.0021,USE1-minimax.minimax-m2.5-output-tokens-priority
Ministral 14B 3.0,Mistral,,Output tokens flex,1K tokens,0.0001,USE1-mistral.ministral-3-14b-instruct-mantle-output-tokens-flex
Ministral 3B 3.0,Mistral,,Input tokens flex,1K tokens,5e-05,USE1-mistral.ministral-3-3b-instruct-mantle-input-tokens-flex
Ministral 14B 3.0,Mistral,,Output tokens priority,1K tokens,0.00035,USE1-mistral.ministral-3-14b-instruct-mantle-output-tokens-priority
Qwen3 VL 235B A22B,Qwen,,Input tokens priority,1K tokens,0.00093,USE1-qwen.qwen3-vl-235b-a22b-instruct-mantle-input-tokens-priority
Nova Premier,,On-demand Inference,Input tokens priority,1K tokens,0.004375,USE1-NovaPremier-input-tokens-priority
Nova 2.0 Pro,,,Input Image Token Count Flex,1K tokens,0.000625,USE1-Nova2.0Pro-input-image-token-count-flex-cross-region-global
Qwen3 235B A22B 2507,Qwen,,Output tokens,1K tokens,0.00088,USE1-qwen.qwen3-235b-a22b-2507-mantle-output-tokens-standard
Qwen3 Next 80B A3B,Qwen,,input tokens batch,1K tokens,7e-05,USE1-qwen.qwen3-next-80b-a3b-instruct-mantle-input-tokens-batch
Llama 3 70B,Meta,On-demand Inference,Output tokens,1K tokens,0.0035,USE1-Llama3-70B-output-tokens
Kimi K2.5,Moonshot AI,On-demand Inference,output tokens batch,1K tokens,0.0015,USE1-moonshotai.kimi-k2.5-output-tokens-batch
Nova 2.0 Lite,,Batch Inference,Input tokens,1K tokens,0.000165,USE1-Nova2.0Lite-input-tokens-batch
Qwen3 32B,Qwen,On-demand Inference,Input tokens,1K tokens,0.00015,USE1-Qwen3-32B-input-tokens
Qwen3 Coder 30B A3B,Qwen,,Input tokens flex,1K tokens,7.5e-05,USE1-qwen.qwen3-coder-30b-a3b-instruct-mantle-input-tokens-flex
NVIDIA Nemotron 3 Super 120B A12B,Nvidia,On-demand Inference,Input tokens,1K tokens,0.00015,USE1-nvidia.nemotron-super-3-120b-input-tokens
Voxtral Small 1.0,Mistral,On-demand Inference,Input tokens,1K tokens,0.0001,USE1-Voxtral-Mini-24B-2507-input-tokens
Mistral Small,Mistral,Batch Inference,Input tokens,1K tokens,0.0005,USE1-MistralSmall-input-tokens-batch
Nova 2.0 Pro,,,Text Input Tokens,1K tokens,0.000625,USE1-Nova2.0Pro-text-input-tokens-cross-region-global-batch
Llama 3.2 3B,Meta,On-demand Inference,Output tokens,1K tokens,0.00015,USE1-Llama3-2-3B-output-tokens
Qwen3 Coder 30B A3B,Qwen,On-demand Inference,Input tokens priority,1K tokens,0.0002625,USE1-Qwen3Coder-30B-A3B-input-tokens-priority
Qwen3 Next 80B A3B,Qwen,,Output tokens priority,1K tokens,0.0021,USE1-qwen.qwen3-next-80b-a3b-instruct-mantle-output-tokens-priority
Nova Pro,,Provisioned Throughput Inference - 1 month,,hour,55.0,USE1-NovaPro-ProvisionedThroughput-1month-ModelUnits
Llama 3.2 1B,Meta,On-demand Inference,Output tokens,1K tokens,0.0001,USE1-Llama3-2-1B-output-tokens
MiniMax M2.5,Minimax AI,On-demand Inference,input tokens batch,1K tokens,0.00015,USE1-minimax.minimax-m2.5-input-tokens-batch
Nova 2.0 Omni,,On-demand Inference,Text Input Token,1K tokens,0.0003,USE1-Nova2.0Omni-text-input-tokens
Nova 2.0 Pro,,,Text Input Tokens Priority,1K tokens,0.0021875,USE1-Nova2.0Pro-text-input-tokens-priority-cross-region-global
Minimax M2,Minimax AI,Batch Inference,Output tokens,1K tokens,0.0006,USE1-Minimax-M2-output-tokens-batch
GPT OSS Safeguard 20B,OpenAI,On-demand Inference,Output tokens priority,1K tokens,0.00035,USE1-GPT-OSS-Safeguard-20B-output-tokens-priority
Minimax M2.1,Minimax AI,,Output tokens flex,1K tokens,0.0006,USE1-minimax.minimax-m2.1-mantle-output-tokens-flex
NVIDIA Nemotron Nano 2 VL,Nvidia,,Output tokens,1K tokens,0.0006,USE1-nvidia.nemotron-nano-12b-v2-mantle-output-tokens-standard
Nemotron Nano 3 30B,Nvidia,,Input tokens flex,1K tokens,3e-05,USE1-nvidia.nemotron-nano-3-30b-mantle-input-tokens-flex
DeepSeek v3.2,DeepSeek,On-demand Inference,input tokens batch,1K tokens,0.00031,USE1-deepseek.v3.2-input-tokens-batch
Nova Pro,,Batch Inference,Input tokens,1K tokens,0.0004,USE1-NovaPro-input-tokens-batch
NVIDIA Nemotron Nano 2 VL,Nvidia,,Input tokens flex,1K tokens,0.0001,USE1-nvidia.nemotron-nano-12b-v2-mantle-input-tokens-flex
google.gemma-4-26b-a4b,Google,,output tokens batch,1K tokens,0.0002,USE1-google.gemma-4-26b-a4b-mantle-output-tokens-batch
Kimi K2.5,Moonshot AI,On-demand Inference,Output tokens priority,1K tokens,0.00525,USE1-moonshotai.kimi-k2.5-output-tokens-priority
Nova Premier,,On-demand Inference,Output tokens,1K tokens,0.0125,USE1-NovaPremier-output-tokens
Minimax M2.1,Minimax AI,,output tokens batch,1K tokens,0.0006,USE1-minimax.minimax-m2.1-mantle-output-tokens-batch
